Time (s),avg,std dev,%
0,53.00,16.703,31.51564734
30,53.67,16.563,30.86275341
60,54.67,17.156,31.38319325
90,55.33,17.616,31.83665123
120,56.33,17.616,31.27150358
150,57.00,17.692,31.03825616
180,58.00,17.692,30.50311382
210,59.00,17.692,29.98611189
240,60.00,17.692,29.48634335
270,61.33,18.230,29.72284546
300,62.67,17.786,28.38153526
330,64.00,18.330,28.64109809
360,65.67,17.786,27.0849169
390,67.33,17.898,26.58097774
420,69.67,17.474,25.08199507
450,71.67,17.474,24.38203241
480,73.67,17.214,23.36787572
510,76.67,17.214,22.45348058
540,79.33,16.442,20.72497892
570,82.67,16.073,19.44284428
600,85.67,15.144,17.67753571
630,89.33,15.373,17.20873516
660,93.00,14.731,15.83969878
690,96.67,14.154,14.64198189
720,101.00,13.892,13.75489504
750,105.00,13.077,12.45399698
780,108.67,13.429,12.35781416
810,113.33,13.051,11.51574821
840,118.33,13.051,11.0291673
870,123.67,12.897,10.42886368
900,129.00,13.748,10.65715278
930,133.33,16.503,12.37689379
960,140.33,16.503,11.75951904
990,147.33,17.010,11.54511387
1020,154.67,17.039,11.0167051
1050,163.33,17.559,10.75066709
1080,172.00,17.088,9.934888076
1110,181.67,17.616,9.697035054
1140,191.33,18.148,9.484778808
1170,201.67,18.230,9.039675315
1200,212.67,18.230,8.572105902
1230,224.00,18.330,8.183170884
1260,236.00,18.330,7.767077449
1290,248.67,18.877,7.591203826
1320,261.67,18.877,7.214061215
1350,275.67,19.858,7.203565179
1380,289.67,19.858,6.855406678
1410,304.67,20.841,6.840480977
1440,320.33,20.404,6.36969238
1470,336.67,20.841,6.190296646
1500,352.67,21.825,6.188580921
1530,370.67,22.811,6.153997162
1560,389.00,24.249,6.233601878
1590,407.67,25.775,6.322485175
1620,426.67,25.423,5.958535927
1650,445.00,24.269,5.453780269
1680,462.67,22.679,4.901783485
1710,479.00,21.000,4.384133612
1740,493.67,19.732,3.996934122
1770,507.33,19.399,3.823780428
1800,520.67,18.824,3.615315724
1830,533.00,18.248,3.423693732
1860,545.00,18.248,3.34830965
1890,557.67,17.098,3.06594587
1920,572.33,20.108,3.513344469
1950,581.33,16.773,2.885262758
1980,592.67,16.197,2.732852781
2010,603.67,15.373,2.546626738
2040,614.67,15.373,2.501052616
2070,625.67,15.373,2.457080993
2100,636.00,15.716,2.471105919
2130,646.33,15.144,2.34302562
2160,657.00,15.716,2.392120798
2190,667.67,15.503,2.32192031
2220,678.00,14.933,2.20253459
2250,688.00,14.933,2.170521006
2280,693.00,15.556,2.244783432